,key,num
45,复杂网络,3562
112,社团结构,159
48,复杂网络理论,151
106,社区发现,128
163,鲁棒性,124
68,拓扑结构,122
76,无标度网络,118
66,抗毁性,99
157,链路预测,98
71,数据挖掘,96
56,小世界网络,93
134,脆弱性,91
63,度分布,88
117,级联失效,86
35,同步,84
142,节点重要性,81
127,网络结构,71
74,无标度,68
13,仿真,65
46,复杂网络分析,65
85,模块度,65
53,小世界,65
103,社会网络,62
60,幂律分布,62
31,加权网络,59
102,社交网络,58
94,用药规律,54
44,复杂系统,53
52,大数据,53
92,演化模型,52
147,超网络,51
114,稳定性,48
111,社团发现,48
151,连锁故障,48
154,重叠社区,47
25,关键节点,45
104,社会网络分析,45
141,节点重要度,43
109,社区结构,41
20,信息传播,41
131,聚类系数,40
95,电力系统,37
42,复杂动态网络,37
34,可靠性,37
90,演化,37
43,复杂性,35
12,介数,34
78,时滞,34
38,城市交通,33
129,聚类,33
8,交通工程,32
70,故障诊断,31
6,中心性,31
91,演化博弈,31
110,社团划分,31
125,网络演化,30
123,网络效率,30
124,网络模型,29
162,风险评估,29
122,网络拓扑,28
152,遗传算法,28
96,病毒传播,27
79,时间序列,27
120,网络,27
146,超图,27
82,最短路径,27
37,图论,27
93,牵制控制,26
116,系统性风险,26
69,攻击策略,26
40,城市轨道交通,26
145,贝叶斯网络,26
33,可视化,25
105,社区划分,25
15,传播动力学,25
97,相似度,25
54,小世界效应,25
84,标签传播,24
126,网络科学,24
113,神经网络,24
30,加权复杂网络,24
16,传播模型,24
119,结构洞,24
3,sir模型,24
83,机器学习,23
140,节点影响力,23
128,网络舆情,23
158,随机游走,23
75,无标度特性,23
121,网络分析,23
101,知识网络,23
65,微博,23
150,连通性,23
132,聚集系数,22
118,级联故障,22
5,中国,22
57,局域世界,22
86,模型,21
108,社区检测,21
130,聚类分析,21
156,链接预测,21
47,复杂网络模型,21
77,无线传感器网络,21
41,复杂产品,21
133,股票市场,21
18,供应链,20
89,混沌同步,20
23,公交网络,20
64,建模,20
62,度,20
161,风险传染,20
1,ba模型,20
148,路由策略,20
17,作战体系,20
9,交通网络,20
136,自适应控制,20
99,相继故障,20
11,产业集群,20
19,供应链网络,19
4,“一带一路”,19
0,agent,19
72,无尺度,19
87,深度学习,19
51,多属性决策,18
2,sirs模型,18
73,无尺度网络,18
81,最小生成树,18
88,混沌,18
36,国际贸易,18
14,传播,18
49,复杂网络系统,17
155,重叠社区发现,17
26,分形,17
137,航空网络,17
24,关联规则,17
67,拓扑,17
39,城市群,17
135,脑功能网络,16
144,谱聚类,16
61,平均路径长度,16
160,预测,16
159,随机网络,16
7,互信息,16
29,创新网络,16
149,软件网络,16
32,动态演化,15
27,分形维数,15
22,免疫策略,15
100,知识传播,15
138,节点中心性,15
139,节点度,15
21,信息熵,15
50,多层网络,15
59,幂律,15
58,层次结构,15
10,产业关联,15
153,配伍规律,15
55,小世界特性,15
107,社区挖掘,15
80,智能电网,15
98,相依网络,15
28,创新扩散,15
143,谣言传播,15
115,空间结构,15
